Project_Name,PrimaryMission,EngagementType,CommunityPartner,CampusPartner,UNOstudents,Hourstudents,TotalHours
The 15th Annual Omaha Buddy Walk,Social Justice,volunteering,Down Sydrome Alliance of the Midlands (DSM),Student Council for Exceptional Children,6,5,30
2017 Seminar Lunch and Learn ,Economic Sufficiency,service learning,75 North ,Service Learning Academy,0,0,0
2017 Seminar Nonprofit Fair,Health and Wellness,service learning,A Time to Heal,Service Learning Academy,0,0,0
Food for Thought,Social Justice,service learning,Adam's Park Senior Center,Emilio Herrera (SOWK 1500),5,28.5,142.5
Editing Principles Art,Educational Support,service learning,Adam's Park Senior Center,Don Bowen (JMC 2160),11,5,55
Food for Thought,Social Justice,service learning,Adam's Park Senior Center,Jeff Knapp (SOWK 1500),6,29,174
"Race Relations: Past, Present, and Future ",Social Justice,service learning,Adam's Park Senior Center,Peggy Jones (BLST 2010) ,7,20,140
Global Voices,Social Justice,service learning,Aksarben Senior  Center,Steph Lynam (ILUNO 3695),9,2.5,22.5
Completely PAWS,Social Justice,service learning,Aksarben Senior  Center,Jeff Knapp (SOWK 1500),4,128.5,514
FLC/Nathan Hale,International Service,service learning,Aksarben Senior  Center,Emily Bradley (FLC),20,0.6,12
2018 Seminar Nonprofit Fair,Social Justice,service learning,Alliance for a Better Omaha,Service Learning Academy,0,0,0
No Place for Hate,Social Justice,service learning,Anti Defamation League,Arianna Cabrera (Student Sustained Dialogue Group),,20,0
Media Storytelling,Social Justice,service learning,Anti Defamation League,Don Bowen (JMC 2200),19,4.5,85.5
Sustained Dialogue,Social Justice,service learning,Anti Defamation League,Dr. Patrick McNamara (PSCI 1000),20,11.25,225
Fall Festival,Educational Support,service learning,Autism Society of NE,Dr. Mitzi Ritzman (SPED 8540),20,18.55,371
Special Studies in Music,Educational Support,service learning,Bergan Mercy Hospital,Mary Perkinson (MUS 4000),3,20,60
2019 Seminar Nonprofit Fair,Educational Support,service learning,Boys and Girls Club of the Midlands,Service Learning Academy,0,0,0
Boys Town Ethics,Educational Support,service learning,Boys Town Day School,Dr. Amy Rodie (BSAD 2600),8,14.5,116
Cultural Narratives,Social Justice,service learning,Brownwell Talbot ,Steph Lynam (ILUNO 3695),6,8.75,52.5
Burke Gardens,Environmental Stewardship,service learning,Burke Garden,Dr. Steve Rodie (BIOL 3660/3670),5,6,30
Sharing Books & Stories,Educational Support,service learning,Charles Washington Library,Dr. Mitzi Ritzman (SPED 8590),20,19,380
Native Garden,Health and Wellness,service learning,Circle of Grandmothers,Travis Robbins (NAMS 4920),5,20,100
Beveridge Community Garden,Social Justice,service learning,City Sprouts,Dr. Linda Loftus (ILUNO 3695),22,1.75,38.5
City Sprouts Cookbook,Health and Wellness,service learning,City Sprouts,Don Bown (JMC 3110),18,10.05,180.9
2017 Seminar Service Site,Environmental Stewardship,service learning,City Sprouts,Service Learning Academy,0,0,0
2017 Seminar Lunch and Learn ,Environmental Stewardship,service learning,City Sprouts,Service Learning Academy,0,0,0
2020 Seminar Nonprofit Fair,Social Justice,service learning,Coalition for a Strong Nebraska,Service Learning Academy,0,0,0
2021 Seminar Nonprofit Fair,Social Justice,service learning,Common Sense Media (OPS Program),Service Learning Academy,0,0,0
